Factor,Metric,F Value,Num DF,Den DF,p-value
类型,主任务反应时间,10.032166212416634,1.0,11.0,0.008960667391225976
负荷,主任务反应时间,0.7057811600882681,1.0,11.0,0.4187336922466209
类型:负荷,主任务反应时间,6.712687075219507,1.0,11.0,0.025098571756279702
类型,主任务错误率,150.2851733468557,1.0,11.0,9.336829788533736e-08
负荷,主任务错误率,579.6400115334708,1.0,11.0,7.248048286646819e-11
类型:负荷,主任务错误率,14.31632324406705,1.0,11.0,0.003027636600610824
类型,一阶段操作时间,4.651341888199064,1.0,11.0,0.05401392787580791
负荷,一阶段操作时间,92.23357544804362,1.0,11.0,1.1055727198491091e-06
类型:负荷,一阶段操作时间,0.5690744988577582,1.0,11.0,0.4664698710249642
类型,二阶段操作时间,535.1632357019522,1.0,11.0,1.1155955432624881e-10
负荷,二阶段操作时间,20.859021680390498,1.0,11.0,0.0008071117664444391
类型:负荷,二阶段操作时间,235.86263503736953,1.0,11.0,8.889837208389802e-09
