time,x,y,distance
0.4112082,-0.2682371,6.52912,0.2622502
0.5115566,-0.3065545,6.511109,0.0423393
0.6224861,-0.2980711,6.512508,0.008597997
0.822648,0.1565669,4.60058,0.04751926
0.9227619,0.1795853,4.714681,0.1163996
1.033971,0.1684604,4.694988,0.02261758
1.144809,0.1609554,4.719475,0.02561085
1.244826,0.1775439,4.722816,0.01692156
1.345011,0.1903342,4.740174,0.02156163
1.456244,0.221036,4.727427,0.03324272
1.556459,0.1988086,4.767187,0.04555132
1.66732,0.2050382,4.742252,0.02570117
1.767411,0.2169988,4.764417,0.02518559
1.867542,0.2132942,4.772873,0.009232085
1.967796,0.1982929,4.704661,0.06984166
2.068036,0.2201792,4.769341,0.0682827
2.168209,0.2219926,4.725223,0.04415613
2.468612,-1.12975,2.968446,0.08884773
2.568654,-1.137606,2.861863,0.1068723
2.66872,-1.070084,2.745268,0.1347352
2.76876,-1.09962,2.750923,0.03007213
2.880199,-1.097113,2.76877,0.01802273
2.991519,-1.327121,2.799077,0.2319964
3.302483,0.6326378,3.651931,0.1455509
3.402524,0.6387035,3.68383,0.03247127
3.614437,0.6133932,5.900286,0.3813625
3.724571,0.6735857,5.911469,0.0612223
3.824581,0.6321154,5.945385,0.05357368
3.92469,0.6441016,6.016885,0.07249708
4.024725,0.6210327,5.909249,0.1100799
4.124741,0.6440861,5.897522,0.02586479
4.3249,2.126544,4.065529,0.1480461
4.425032,2.159671,4.125896,0.06885844
4.525457,2.061511,4.144497,0.09990697
4.736748,-0.8677016,5.584902,0.3639309
4.836781,-0.8264275,5.65295,0.0795874
4.936987,-0.8039866,5.700632,0.05269864
5.037262,-0.7923324,5.676528,0.02677366
5.147636,-0.7932912,5.71625,0.03973401
5.258842,-0.7932584,5.663644,0.05260659
5.359236,-0.7875709,5.753844,0.09037956
5.565218,1.359716,4.187513,0.1401328
5.676577,1.354194,4.178019,0.01098355
5.787251,1.358536,4.177799,0.004347283
5.998611,-2.975965,3.204197,0.003764358
6.109945,-3.226221,3.040256,0.2991729
6.220982,-3.281952,3.089888,0.07462754
6.321091,-3.342506,3.06516,0.06540842
6.432566,-3.320422,3.117886,0.05716347
6.543028,-3.326544,3.125567,0.009822464
6.754475,1.280469,3.823204,0.06916636
6.865034,1.283002,3.875087,0.05194551
6.965332,1.280416,3.828788,0.04637116
7.287472,-2.199622,6.199615,0.03483296
7.387503,-2.210506,6.183797,0.01920041
7.487659,-2.196029,6.151271,0.03560286
7.587755,-2.202906,6.08733,0.06430928
7.687801,-2.177117,6.061913,0.03620965
7.787994,-2.212382,6.133382,0.07969628
7.888084,-1.713087,5.803117,0.5986404
8.088219,0.6678277,4.835589,0.07830692
8.199783,0.6915307,4.87984,0.05019984
8.422045,-1.193743,2.490347,0.06019398
8.533279,-0.9872529,2.588681,0.2287089
8.633528,-1.037889,2.549424,0.06407158
8.744083,-1.083617,2.542456,0.04625578
8.844238,-0.9594914,2.474506,0.1415078
9.144543,0.8838139,3.759426,0.2211966
9.244698,0.7318189,3.76576,0.152127
9.344746,0.720417,3.79258,0.02914294
9.556322,-3.09781,5.058394,0.1692739
9.667068,-3.218378,5.197663,0.1842081
9.767126,-3.071733,5.276209,0.166355
9.867128,-3.065444,5.123191,0.1531472
9.96723,-3.049235,5.091417,0.03567042
10.16747,0.645346,3.87553,0.02845792
10.26752,0.6462228,3.904237,0.02872018
10.37871,0.6412866,3.931318,0.02752721
10.47896,0.6208191,3.936562,0.02112846
10.58978,0.6235611,3.920498,0.0162965
10.79002,-3.349595,2.994777,0.09752207
10.89014,-3.616423,2.910859,0.2797126
11.00137,-3.621039,2.941567,0.03105355
11.1014,-3.620517,2.86054,0.08102943
11.20151,-3.656538,2.920867,0.07026348
11.31304,-3.689957,2.946906,0.04236525
11.42338,-3.712345,2.989224,0.04787531
11.52345,-3.729664,2.937585,0.05446528
11.62355,-3.720884,3.012801,0.07572674
12.05721,-4.592756,1.858868,0.362909
12.16804,-4.602846,1.810864,0.04905286
12.27945,-4.706829,1.877137,0.1233067
12.39056,-4.644232,1.812709,0.0898295
12.50167,-4.637994,1.847782,0.03562322
12.60189,-4.590351,1.89791,0.06915732
12.70189,-4.66496,1.836028,0.09693291
12.81302,-4.95693,1.67782,0.3320786
12.91325,-4.945681,1.807199,0.1298678
13.12366,-1.072419,2.918511,0.06404445
13.34588,-2.651828,1.939557,0.08167291
13.44598,-2.61207,1.980981,0.05741641
13.54602,-2.539294,1.986582,0.07299083
13.64612,-2.524379,1.948879,0.04054604
13.75757,-2.552498,1.903244,0.05360216
13.86829,-2.58609,1.932389,0.04447316
13.96837,-2.539228,1.974907,0.06327575
14.06839,-2.542709,2.002228,0.02754202
14.27984,0.3795912,4.372547,0.0807804
14.491,-1.616837,6.046295,0.1154256
14.59106,-1.571537,6.32349,0.280872
14.7019,-1.562672,6.368431,0.045807
14.80197,-1.527324,6.359435,0.03647472
14.90206,-1.535227,6.395296,0.03672195
15.00208,-1.494422,6.417873,0.04663475
15.20224,0.2495914,3.923705,0.09043453
15.31364,0.2465064,3.920677,0.004322653
15.42149,0.3027464,3.893415,0.06249929
15.74418,-5.523782,6.453688,0.6185972
15.84442,-5.588185,6.469104,0.06622244
15.94443,-5.619307,6.412756,0.06437112
16.04447,-5.623824,6.525923,0.1132569
16.1445,-5.662986,6.428322,0.1051643
16.24458,-5.60491,6.439705,0.05918039
16.44484,-5.220665,5.078079,0.322562
16.55624,-5.224754,5.074656,0.005333031
16.66687,-5.09351,5.049869,0.1335643
16.76703,-5.06452,5.034296,0.03290763
16.86719,-5.099782,5.118863,0.09162426
16.96726,-5.282239,5.180275,0.1925148
17.06734,-5.299833,5.125776,0.05726853
17.1675,-5.206267,5.114507,0.0942416
17.26756,-5.058335,5.24,0.1939908
17.36781,-5.100731,4.920852,0.3219513
17.46808,-5.12053,4.8657,0.05859846
17.56825,-5.068438,4.863345,0.05214481
17.76858,-3.983017,4.659681,0.04890465
17.88,-4.012029,4.642931,0.03350027
17.99128,-4.012434,4.615644,0.02729048
18.10233,-3.454959,4.545731,0.561841
18.31368,1.397034,5.933214,0.1196335
18.42453,1.441119,6.114591,0.1866571
18.5246,1.462556,6.080229,0.04050034
18.63608,1.3288,6.131107,0.1431056
18.847,0.4757187,5.224241,0.2675444
18.95849,0.4267376,5.44294,0.2241169
19.0691,0.4350594,5.415459,0.02871297
19.39195,5.1491,5.987648,0.08246579
19.50307,5.108589,5.9347,0.06666815
19.61428,5.021003,5.872811,0.1072451
19.71432,4.998743,5.853502,0.02946751
19.81447,4.973041,5.805572,0.05438723
20.03674,-0.2063631,5.686067,0.5225763
20.1471,-0.04885313,5.689327,0.1575437
20.24728,0.144713,5.840325,0.2454957
20.44745,4.117538,5.352154,0.8421955
20.55878,4.381669,5.526902,0.3167046
20.66939,4.49648,5.501855,0.1175123
20.76986,4.787103,4.845389,0.7179194
20.88137,4.95586,5.323101,0.5066434
20.99271,4.617981,5.446343,0.359654
21.31449,1.299142,5.029879,0.0511201
21.42524,1.338388,5.04101,0.04079435
21.62558,0.2178695,2.770201,0.1144191
21.73667,0.1584661,2.823227,0.07962769
21.83669,0.1164358,2.801408,0.0473564
21.94744,0.1931512,2.917872,0.1394602
22.05857,0.1846563,2.870779,0.04785319
22.15873,0.2153823,2.910145,0.04993724
22.25895,0.2288706,2.922208,0.01809578
22.36993,0.3337051,3.59268,0.678619
22.58117,-0.3035023,4.926321,0.3985062
22.69226,-0.2971047,4.938046,0.01335719
22.90319,-5.273981,6.905409,0.6428217
23.00353,-5.373469,6.682848,0.2437848
23.11493,-5.897423,6.822413,0.5422236
23.21499,-5.858341,6.819015,0.03922953
23.31524,-5.78442,6.799595,0.07642949
23.42619,-5.595809,6.746617,0.19591
23.72641,-0.9677088,4.835532,0.3301205
23.83808,-1.024015,4.901024,0.08636879
24.05989,-6.298193,6.627367,0.2731473
24.16023,-6.093994,6.825055,0.284214
24.2603,-6.131458,6.676718,0.1529948
24.3713,-6.124924,6.691225,0.01591107
24.47155,-6.094007,6.705594,0.03409224
24.79375,-1.082051,4.788826,0.1887506
24.90452,-1.058269,4.838175,0.05478072
25.01585,-0.740477,4.663707,0.362534
25.22677,0.7097453,4.164775,0.05511324
25.33797,0.8436509,4.170518,0.1340287
25.43808,0.896984,4.181436,0.05443894
25.5381,0.830925,4.15789,0.07012961
25.64852,0.59331,4.100956,0.2443407
25.74894,0.583844,4.10708,0.01127399
25.84895,0.5809857,4.125632,0.01877119
25.96037,0.5481889,4.165232,0.05141735
26.17155,-0.3295827,6.397445,0.1391753
26.48254,-4.873101,6.292553,0.01812676
26.59378,-4.957565,6.38304,0.1237817
26.7047,-4.840961,6.304703,0.1404752
26.81596,-4.795858,6.247405,0.07291933
26.91608,-4.726242,6.242118,0.06981727
27.12679,-0.9075646,4.249856,0.1743413
27.23815,-0.8796381,4.251802,0.02799419
27.34923,-0.9021801,4.261525,0.0245494
27.46061,-0.9027558,4.252929,0.008615673
27.67177,2.02545,6.513605,0.1276937
27.7827,2.045854,6.533976,0.02883233
27.89391,2.10241,6.551736,0.05927883
28.00459,2.097747,6.581821,0.03044427
28.11588,2.082979,6.583728,0.01489025
28.21614,2.103964,6.528137,0.05941975
28.32714,2.120247,6.531707,0.01667018
28.43792,2.131883,6.499771,0.03398933
